Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
D1,30/11/13,Bayern Munich,Braunschweig,2,0
D1,30/11/13,Hertha,Augsburg,0,0
D1,30/11/13,Hoffenheim,Werder Bremen,4,4
D1,30/11/13,Leverkusen,Nurnberg,3,0
D1,30/11/13,Mainz,Dortmund,1,3
D1,30/11/13,Schalke 04,Stuttgart,3,0
D1,01/12/13,Hannover,Ein Frankfurt,2,0
D1,01/12/13,M'gladbach,Freiburg,1,0
D1,06/12/13,Nurnberg,Mainz,1,1
D1,07/12/13,Dortmund,Leverkusen,0,1
D1,07/12/13,Ein Frankfurt,Hoffenheim,1,2
D1,07/12/13,Hamburg,Augsburg,0,1
D1,07/12/13,M'gladbach,Schalke 04,2,1
D1,07/12/13,Stuttgart,Hannover,4,2
D1,07/12/13,Werder Bremen,Bayern Munich,0,7
D1,08/12/13,Braunschweig,Hertha,0,2
D1,08/12/13,Freiburg,Wolfsburg,0,3
D1,13/12/13,Hertha,Werder Bremen,3,2
D1,14/12/13,Augsburg,Braunschweig,4,1
D1,14/12/13,Bayern Munich,Hamburg,3,1
D1,14/12/13,Hannover,Nurnberg,3,3
D1,14/12/13,Hoffenheim,Dortmund,2,2
D1,14/12/13,Mainz,M'gladbach,0,0
D1,14/12/13,Wolfsburg,Stuttgart,3,1
D1,15/12/13,Leverkusen,Ein Frankfurt,0,1
D1,15/12/13,Schalke 04,Freiburg,2,0
D1,20/12/13,Ein Frankfurt,Augsburg,1,1
D1,21/12/13,Braunschweig,Hoffenheim,1,0
D1,21/12/13,Dortmund,Hertha,1,2
D1,21/12/13,Freiburg,Hannover,2,1
D1,21/12/13,Hamburg,Mainz,2,3
D1,21/12/13,Nurnberg,Schalke 04,0,0
D1,21/12/13,Werder Bremen,Leverkusen,1,0
D1,22/12/13,M'gladbach,Wolfsburg,2,2
D1,24/01/14,M'gladbach,Bayern Munich,0,2
D1,25/01/14,Dortmund,Augsburg,2,2
D1,25/01/14,Ein Frankfurt,Hertha,1,0
D1,25/01/14,Freiburg,Leverkusen,3,2
D1,25/01/14,Nurnberg,Hoffenheim,4,0
D1,25/01/14,Stuttgart,Mainz,1,2
D1,25/01/14,Wolfsburg,Hannover,1,3
D1,26/01/14,Hamburg,Schalke 04,0,3
D1,26/01/14,Werder Bremen,Braunschweig,0,0
D1,29/01/14,Stuttgart,Bayern Munich,1,2
D1,31/01/14,Braunschweig,Dortmund,1,2
D1,01/02/14,Augsburg,Werder Bremen,3,1
D1,01/02/14,Hannover,M'gladbach,3,1
D1,01/02/14,Hoffenheim,Hamburg,3,0
D1,01/02/14,Leverkusen,Stuttgart,2,1
D1,01/02/14,Mainz,Freiburg,2,0
D1,01/02/14,Schalke 04,Wolfsburg,2,1
D1,02/02/14,Bayern Munich,Ein Frankfurt,5,0
D1,02/02/14,Hertha,Nurnberg,1,3
D1,07/02/14,M'gladbach,Leverkusen,0,1
D1,08/02/14,Ein Frankfurt,Braunschweig,3,0
D1,08/02/14,Freiburg,Hoffenheim,1,1
D1,08/02/14,Hamburg,Hertha,0,3
D1,08/02/14,Nurnberg,Bayern Munich,0,2
D1,08/02/14,Werder Bremen,Dortmund,1,5
D1,08/02/14,Wolfsburg,Mainz,3,0
D1,09/02/14,Schalke 04,Hannover,2,0
D1,09/02/14,Stuttgart,Augsburg,1,4
D1,14/02/14,Mainz,Hannover,2,0
D1,15/02/14,Bayern Munich,Freiburg,4,0
D1,15/02/14,Braunschweig,Hamburg,4,2
D1,15/02/14,Dortmund,Ein Frankfurt,4,0
D1,15/02/14,Hoffenheim,Stuttgart,4,1
D1,15/02/14,Leverkusen,Schalke 04,1,2
D1,15/02/14,Werder Bremen,M'gladbach,1,1
D1,16/02/14,Augsburg,Nurnberg,0,1
D1,16/02/14,Hertha,Wolfsburg,1,2
D1,21/02/14,Schalke 04,Mainz,0,0
D1,22/02/14,Freiburg,Augsburg,2,4
D1,22/02/14,Hamburg,Dortmund,3,0
D1,22/02/14,M'gladbach,Hoffenheim,2,2
D1,22/02/14,Nurnberg,Braunschweig,2,1
D1,22/02/14,Stuttgart,Hertha,1,2
D1,22/02/14,Wolfsburg,Leverkusen,3,1
D1,23/02/14,Ein Frankfurt,Werder Bremen,0,0
D1,23/02/14,Hannover,Bayern Munich,0,4
D1,28/02/14,Hertha,Freiburg,0,0
D1,01/03/14,Augsburg,Hannover,1,1
D1,01/03/14,Bayern Munich,Schalke 04,5,1
D1,01/03/14,Braunschweig,M'gladbach,1,1
D1,01/03/14,Dortmund,Nurnberg,3,0
D1,01/03/14,Leverkusen,Mainz,0,1
D1,01/03/14,Werder Bremen,Hamburg,1,0
D1,02/03/14,Ein Frankfurt,Stuttgart,2,1
D1,02/03/14,Hoffenheim,Wolfsburg,6,2
D1,08/03/14,Hamburg,Ein Frankfurt,1,1
D1,08/03/14,Hannover,Leverkusen,1,1
D1,08/03/14,M'gladbach,Augsburg,1,2
D1,08/03/14,Nurnberg,Werder Bremen,0,2
D1,08/03/14,Schalke 04,Hoffenheim,4,0
D1,08/03/14,Stuttgart,Braunschweig,2,2
D1,08/03/14,Wolfsburg,Bayern Munich,1,6
D1,09/03/14,Freiburg,Dortmund,0,1
D1,09/03/14,Mainz,Hertha,1,1
D1,14/03/14,Augsburg,Schalke 04,1,2
D1,15/03/14,Bayern Munich,Leverkusen,2,1
D1,15/03/14,Braunschweig,Wolfsburg,1,1
D1,15/03/14,Dortmund,M'gladbach,1,2
D1,15/03/14,Hertha,Hannover,0,3
D1,15/03/14,Hoffenheim,Mainz,2,4
D1,15/03/14,Werder Bremen,Stuttgart,1,1
D1,16/03/14,Ein Frankfurt,Freiburg,1,4
D1,16/03/14,Hamburg,Nurnberg,2,1
D1,21/03/14,Freiburg,Werder Bremen,3,1
D1,22/03/14,Hannover,Dortmund,0,3
D1,22/03/14,Mainz,Bayern Munich,0,2
D1,22/03/14,M'gladbach,Hertha,3,0
